"Date","Open","High","Low","Close","Volume","Change"
1996-03-05,236.81,237.26,235.01,235.59,0,0.0212278169313018
1996-03-06,235.88,235.88,234.46,235.16,0,-0.182520480495785
1996-03-07,234.75,235.85,234.3,235.67,0,0.216873617962232
1996-03-08,236.15,236.6,232.2,233.38,0,-0.97169771290363
1996-03-11,229.49,230.76,227.97,230.38,0,-1.28545719427543
1996-03-12,232.02,232.97,231.5,231.51,0,0.490493966490146
1996-03-13,232.48,233.9,231.66,233.4,0,0.816379422055213
1996-03-14,233.72,236.22,233.53,236.22,0,1.20822622107968
1996-03-15,236.57,236.77,234.66,236.05,0,-0.071966810600288
1996-03-18,235.55,238.15,235.25,238.15,0,0.889642024994708
1996-03-19,239.76,239.78,238.17,239.56,0,0.592063825320177
1996-03-20,237.98,239.47,237.77,239.47,0,-0.0375688762731641
1996-03-21,238.78,239.82,238.57,239.24,0,-0.0960454336660033
1996-03-22,238.6,240.01,238.05,239.69,0,0.188095636181229
1996-03-25,240.41,240.91,238.76,239.36,0,-0.137677833868743
1996-03-26,239.01,239.35,238.31,238.5,0,-0.359291443850274
1996-03-27,239.54,240.48,239.36,240.1,0,0.670859538784074
1996-03-28,239.57,240.26,238.55,239.09,0,-0.420658059142021
1996-03-29,240.21,241.27,239.92,241.25,0,0.903425488309839
1996-04-01,241.68,243.88,241.68,243.81,0,1.06113989637306
1996-04-02,244.4,244.57,243.22,243.9,0,0.0369139904023541
1996-04-03,244.31,244.4,242.28,242.48,0,-0.582205822058224
1996-04-04,242.8,243.79,242.47,243.65,0,0.482514021774993
1996-04-09,241.91,244.96,241.78,243.72,0,0.0287297352760119
1996-04-10,245.19,247.23,245.13,247.21,0,1.43197111439357
1996-04-11,245.99,247.5,245.92,246.52,0,-0.279114922535495
1996-04-12,246.71,247.09,244.96,245.91,0,-0.247444426415711
1996-04-15,247.56,249.19,247.24,249.13,0,1.30942214631369
1996-04-16,249.72,249.8,248.62,248.78,0,-0.14048890137679
1996-04-17,248.85,249,247.23,247.62,0,-0.466275424069462
1996-04-18,246.62,247.66,246.34,246.66,0,-0.387690816573782
1996-04-19,246.88,248.57,246.78,248.06,0,0.567582907646158
1996-04-22,249.12,251.65,248.95,250.64,0,1.04007095057648
1996-04-23,250.66,251.56,250.28,250.6,0,-0.0159591445898499
1996-04-24,251.1,252.55,250.82,251.34,0,0.295291300877887
1996-04-25,251.4,252.15,250.08,250.18,0,-0.46152621946367
1996-04-26,250.3,251.06,249.19,251.06,0,0.351746742345505
1996-04-29,251.1,252.34,251.06,251.67,0,0.242969808014015
1996-05-01,251.65,252.73,251.57,252.18,0,0.202646322565281
1996-05-02,252.86,254.49,252.44,253.34,0,0.45998889681973
1996-05-03,251.16,251.75,248.62,251.47,0,-0.738138470040262
1996-05-06,250.52,254.15,250.44,254.04,0,1.02199069471507
1996-05-07,254.13,255.05,253.51,253.93,0,-0.0433002676743732
1996-05-08,253.16,253.33,249.58,250.29,0,-1.43346591580358
1996-05-09,251.24,252.18,250.67,252.14,0,0.73914259459027
1996-05-10,251.37,251.81,249.1,251.81,0,-0.130879670024586
1996-05-13,252.53,253.37,251.76,252.15,0,0.135022437552124
1996-05-14,253.57,253.92,252.48,253.17,0,0.404521118381918
1996-05-15,253.87,254.12,252.64,253.63,0,0.181696093534001
1996-05-17,252.23,252.34,250.69,251.49,0,-0.843748767890229
1996-05-20,252.05,253.68,251.74,253.29,0,0.7157342240248
1996-05-21,254.63,255.05,254.09,254.95,0,0.6553752615579
1996-05-22,254.96,255.08,253.77,254.71,0,-0.0941361051186473
1996-05-23,255.49,256.47,255.35,255.84,0,0.443641788700866
1996-05-24,255.51,256.35,255.34,256.06,0,0.0859912445278388
1996-05-28,256.85,258.32,256.71,257.79,0,0.675622900882611
1996-05-29,257.53,258.7,257.17,257.17,0,-0.24050583808527
1996-05-30,256.34,257.52,256.18,256.4,0,-0.299412839755819
1996-05-31,257.3,259.07,257.3,258.7,0,0.89703588143526
1996-06-03,258.45,259.45,258.01,258.29,0,-0.15848473134904
1996-06-04,258.65,259.23,257.1,258.02,0,-0.104533663711348
1996-06-05,258.52,259.1,257.28,258.97,0,0.36818851251843
1996-06-06,259.55,259.79,258.37,259.45,0,0.185349654400113
1996-06-07,259.12,259.54,255.47,256.62,0,-1.09076893428406
1996-06-10,257.41,258.93,257.05,258.8,0,0.849505104824266
1996-06-11,258.4,258.75,257.49,258.74,0,-0.023183925811443
1996-06-12,258.75,258.95,257.87,258.46,0,-0.108216742676059
1996-06-13,257,257.04,254.83,254.83,0,-1.4044726456705
1996-06-14,253.27,254.84,252.81,253.35,0,-0.580779343091475
